path	n_events	mean_inf_pct	median_inf_pct	match_avg_pct
long_content_30k_001/long30k_001_gc3250_rp0.01_mr8E-5_ss100.fa	1	8.785	8.785	95.238
long_content_30k_001/long30k_002_gc2500_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_003_gc4000_rp0.02_mr8E-5_ss50.fa	12	3.190	3.029	93.841
long_content_30k_001/long30k_004_gc3250_rp0.01_mr12E-5_ss200.fa	2	13.778	13.778	92.160
long_content_30k_001/long30k_005_gc3250_rp0.01_mr4E-5_ss200.fa	1	3.158	3.158	96.930
long_content_30k_001/long30k_006_gc2500_rp0.02_mr4E-5_ss100.fa	30	2.371	2.090	97.317
long_content_30k_001/long30k_007_gc2500_rp0.005_mr4E-5_ss100.fa	30	0.129	0.112	97.137
long_content_30k_001/long30k_008_gc2500_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_009_gc3250_rp0.005_mr4E-5_ss100.fa	1	1.324	1.324	99.201
long_content_30k_001/long30k_010_gc2500_rp0.02_mr8E-5_ss200.fa	7	2.643	0.361	92.948
long_content_30k_001/long30k_011_gc3250_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_012_gc3250_rp0.02_mr4E-5_ss100.fa	7	3.063	3.256	96.226
long_content_30k_001/long30k_013_gc3250_rp0.005_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_014_gc4000_rp0.02_mr12E-5_ss50.fa	27	5.125	5.147	94.044
long_content_30k_001/long30k_015_gc4000_rp0.01_mr4E-5_ss100.fa	10	1.244	1.244	95.160
long_content_30k_001/long30k_016_gc4000_rp0.005_mr12E-5_ss50.fa	15	6.873	6.873	93.617
long_content_30k_001/long30k_017_gc3250_rp0.005_mr8E-5_ss200.fa	1	7.444	7.444	94.417
long_content_30k_001/long30k_018_gc2500_rp0.01_mr8E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_019_gc4000_rp0.005_mr8E-5_ss200.fa	8	1.357	1.357	97.768
long_content_30k_001/long30k_020_gc4000_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
