rel_path	dir	n_events	max_bp
XML-1/alignment_XML1-2500-0.005-12E-5-100-1.fa	XML-1	9	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-10.fa	XML-1	10	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-11.fa	XML-1	10	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-12.fa	XML-1	15	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-13.fa	XML-1	13	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-14.fa	XML-1	5	3018
XML-1/alignment_XML1-2500-0.005-12E-5-100-15.fa	XML-1	10	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-2.fa	XML-1	9	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-3.fa	XML-1	10	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-4.fa	XML-1	8	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-5.fa	XML-1	15	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-6.fa	XML-1	15	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-7.fa	XML-1	7	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-8.fa	XML-1	22	3822
XML-1/alignment_XML1-2500-0.005-12E-5-100-9.fa	XML-1	19	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-1.fa	XML-1	15	3654
XML-1/alignment_XML1-2500-0.005-12E-5-200-10.fa	XML-1	14	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-11.fa	XML-1	12	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-12.fa	XML-1	16	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-13.fa	XML-1	27	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-14.fa	XML-1	15	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-15.fa	XML-1	16	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-2.fa	XML-1	16	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-3.fa	XML-1	19	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-4.fa	XML-1	21	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-5.fa	XML-1	20	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-6.fa	XML-1	15	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-7.fa	XML-1	12	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-8.fa	XML-1	25	3822
XML-1/alignment_XML1-2500-0.005-12E-5-200-9.fa	XML-1	9	3822
XML-1/alignment_XML1-2500-0.005-12E-5-50-1.fa	XML-1	5	3822
XML-1/alignment_XML1-2500-0.005-12E-5-50-10.fa	XML-1	18	3822
XML-1/alignment_XML1-2500-0.005-12E-5-50-11.fa	XML-1	3	3822
