crf,breakpoint_idx,hxb2_position,left_subtype,right_subtype
CRF01_AE,0,5096,A1,E
CRF01_AE,1,5320,E,A1
CRF01_AE,2,5450,A1,E
CRF01_AE,3,5650,E,A1
CRF01_AE,4,6310,A1,E/A1
CRF01_AE,5,6500,E/A1,E
CRF01_AE,6,7999,E,E/A1
CRF01_AE,7,8378,E/A1,A1
CRF01_AE,8,9085,A1,E
CRF02_AG,0,789,G,A
CRF02_AG,1,2155,A,A/G
CRF02_AG,2,2625,A/G,G
CRF02_AG,3,3274,G,A
CRF02_AG,4,4174,A,G
CRF02_AG,5,4874,G,A/G
CRF02_AG,6,6224,A/G,A
CRF02_AG,7,8311,A,A/G
CRF02_AG,8,8588,A/G,A/G
CRF02_AG,9,9089,A/G,G
CRF07_BC,0,1269,C,B
CRF07_BC,1,1410,B,C
CRF07_BC,2,2080,C,B
CRF07_BC,3,2620,B,C
CRF07_BC,4,3010,C,B
CRF07_BC,5,3310,B,C
CRF07_BC,6,5699,C,B
CRF07_BC,7,6310,B,C
CRF07_BC,8,8796,C,B
CRF07_BC,9,9058,B,C
CRF08_BC,0,1440,C,B
CRF08_BC,1,1630,B,C
CRF08_BC,2,2852,C,B
CRF08_BC,3,3170,B,C
CRF08_BC,4,8802,C,B
CRF08_BC,5,9010,B,C
CRF12_BF,0,951,B,F1
CRF12_BF,1,2981,F1,B
CRF12_BF,2,2640,B,F1
CRF12_BF,3,3025,F1,B
CRF12_BF,4,3688,B,F1
CRF12_BF,5,5945,F1,B
CRF12_BF,6,6209,B,F1
CRF12_BF,7,8482,F1,B
CRF12_BF,8,8660,B,F1
