crf,fragment_idx,hxb2_start,hxb2_end,parental_subtype
CRF01_AE,0,790,5096,A1
CRF01_AE,1,5097,5320,E
CRF01_AE,2,5321,5450,A1
CRF01_AE,3,5451,5650,E
CRF01_AE,4,5651,6310,A1
CRF01_AE,5,6311,6500,E/A1
CRF01_AE,6,6501,7999,E
CRF01_AE,7,8000,8378,E/A1
CRF01_AE,8,8379,9085,A1
CRF01_AE,9,9086,9600,E
CRF02_AG,0,1,789,G
CRF02_AG,1,790,2155,A
CRF02_AG,2,2156,2625,A/G
CRF02_AG,3,2626,3274,G
CRF02_AG,4,3275,4174,A
CRF02_AG,5,4175,4874,G
CRF02_AG,6,4875,6224,A/G
CRF02_AG,7,6225,8311,A
CRF02_AG,8,8312,8588,A/G
CRF02_AG,9,8589,9089,A/G
CRF02_AG,10,9090,9719,G
CRF07_BC,0,790,1269,C
CRF07_BC,1,1270,1410,B
CRF07_BC,2,1411,2080,C
CRF07_BC,3,2081,2620,B
CRF07_BC,4,2621,3010,C
CRF07_BC,5,3011,3310,B
CRF07_BC,6,3311,5699,C
CRF07_BC,7,5700,6310,B
CRF07_BC,8,6311,8796,C
CRF07_BC,9,8797,9058,B
CRF07_BC,10,9059,9417,C
CRF08_BC,0,790,1440,C
CRF08_BC,1,1441,1630,B
CRF08_BC,2,1631,2852,C
CRF08_BC,3,2853,3170,B
CRF08_BC,4,3171,8802,C
CRF08_BC,5,8803,9010,B
CRF08_BC,6,9011,9417,C
CRF12_BF,0,739,951,B
CRF12_BF,1,952,2981,F1
CRF12_BF,2,2473,2640,B
CRF12_BF,3,2641,3025,F1
CRF12_BF,4,3026,3688,B
CRF12_BF,5,3689,5945,F1
CRF12_BF,6,5944,6209,B
CRF12_BF,7,6210,8482,F1
CRF12_BF,8,8483,8660,B
CRF12_BF,9,8661,9417,F1
